Pop	distance	nSample
OSLO1	0	10
USTK2	568.7392164	10
SZCE4	622.8242158	10
RYNS5	681.7488301	10
ZIOL6	768.8243607	10
SLUP7	806.7173423	10
GLUS8	773.1034506	10
WLOC9	756.8461375	10
PRZY10	829.4233617	10
KEPA11	856.584943	10
ZAST12	951.037061	10
KOZI13	990.259647	10
DWJA14	1048.852107	10
UKRA16	1927.662751	10
