Sample	Taxon	Sex	Location	locality_ID	OrbitalRingHueCat	TarsusHueCat	BillShapeRatio	BilllengthRatio	NB	NM	NW	T10	T9	T5	T4	W10_mm	W9_mm	B10_mm	B9_mm	B8_mm	B7_mm	B6_mm	B5_mm	M10_mm	M9_mm	M8_mm	M7_mm	M6_mm	M5_mm	M4_mm	TarsusR
LarCacYP6EZ	Larus cachinnans	F	RYNS5	5	3	4	2.86082474	2.2036036	6	2	6	2	2	2	0	56.8171075	41.6682881	7.61357263	48.2561265	38.2910218	26.7448402	18.2169741	1.13984599	136.396095	160.25044	121.405638	65.873677	38.6281938	13.2098114	0	0.149213483
LarCacYP6UL	Larus cachinnans	M	GLUS8	8	3	5	2.86666667	2.22591362	7	1	7	3	2	3	1	66.8002239	49.6592243	30.7852677	75.9478433	59.450552	36.7767813	21.0675362	9.16022039	153.675915	148.17433	123.357533	92.7324781	39.0147164	21.0071474	3.53811769	0.157802198
LarCacYP6UU	Larus cachinnans	M	GLUS8	8	2	3	3.15920398	2.17952756	6	1	6	3	2	3	0	66.9400543	45.4734549	51.7625569	88.3166256	71.3317867	42.5602909	21.1213778	8.99477596	159.842308	184.102718	148.355935	94.9740593	55.4970566	19.891609	0	0.168210526
LarCacYP6UZ	Larus hybrid	M	GLUS8	8	3	5	3.02985075	2.1773399	6	2	6	2	2	3	0	67.1919706	45.0803785	32.4144361	73.7646813	56.3788106	36.2658062	22.6502482	6.3381951	171.528532	200.550019	141.04973	88.9712334	33.7297185	11.6591059	0	0.158562368
LarCacYP6XY	Larus cachinnans	F	SLUP7	7	3	4	3.00549451	2.32541133	6	2	6	2	2	1	0	68.6306136	44.4825833	21.8915607	68.7814677	53.7653125	26.045636	15.3119767	0	159.56959	182.061707	147.698827	92.4750931	35.7274802	15.6980941	0	0.151670379
LarCacYP7AM	Larus cachinnans	F	SLUP7	7	3	4	3.1344086	2.14751286	6	1	6	1	2	3	0	67.0352836	50.6485419	20.4279273	71.2524688	61.8000478	30.7404733	20.2229819	8.90612617	157.19333	167.401021	120.374638	68.3281352	34.8953926	12.0899129	0	0.162242563
LarCacYP7AP	Larus cachinnans	F	SLUP7	7	3	4	3.36416185	2.09793814	6	1	6	2	2	3	0	61.943038	46.4693729	31.6372305	73.0282832	58.3361707	32.5526793	20.1487912	7.40684297	154.176243	177.311873	125.694899	80.6692518	40.2975825	17.8448732	0	0.160619469
LarCacYP7AR	Larus cachinnans	M	SLUP7	7	3	4	3.22058824	2.1065449	7	1	7	2	2	3	1	63.1139361	36.5323223	47.8764644	84.5261354	61.9498497	36.5057453	22.3878762	7.76247626	161.193592	184.74085	133.45406	105.686372	72.6416636	20.0956904	0	0.166525424
LarCacYP7CA	Larus cachinnans	F	GLUS8	8	2	1	3.20744681	2.18739635	7	2	7	2	2	3	1	62.044504	46.7060829	37.1235531	68.9136972	54.3900336	39.3365627	24.0329086	8.73568896	144.989678	185.158514	136.15077	81.0862624	42.7901774	15.0732973	0	0.163713647
LarCacYP7CC	Larus cachinnans	F	GLUS8	8	3	3	3.36470588	2.19230769	6	2	6	2	2	2	0	62.0228821	50.0104221	27.7749852	74.8186542	58.8060947	28.4978985	13.9429135	0.80166116	166.183411	191.11592	125.158025	62.1610565	32.108506	12.0755825	0	0.154464286
LarCacYP7CE	Larus hybrid	F	GLUS8	8	3	4	3.28089888	2.07705479	7	2	7	3	3	3	1	62.7086159	43.0906472	43.3122661	80.9889478	61.1337275	36.5439248	21.8395661	6.52013141	163.521118	187.178746	139.357486	83.6313706	55.3164418	23.817847	0	0.15456621
LarCacYP7CH	Larus cachinnans	M	GLUS8	8	3	3	3.42857143	2.20089286	6	2	6	2	3	3	0	57.519606	39.7053962	32.6145597	72.3887495	49.6859332	28.5525117	22.6343251	6.51891617	168.172102	187.812448	119.645729	87.3003376	38.5680367	15.2262045	0	0.163481953
LarCacYP887	Larus cachinnans	F	PRZY10	10	3	2	3.19662921	2.19507909	7	2	7	5	2	3	1	63.2721523	45.2715387	39.2187192	79.9226333	60.745687	34.7356564	20.1069369	10.0975285	140.661846	185.66672	146.490237	93.7854906	41.2336393	18.6680816	0	0.161818182
LarCacYP95L	Larus hybrid	M	ZIOL6	6	3	3	1.09836066	3.27363184	6	2	6	4	3	3	0	75.3615725	43.2200194	43.1106198	NA	75.2085762	40.210263	25.9540087	9.18973213	141.36989	203.527153	162.348275	112.977303	59.9568323	24.9987741	0	0.158174098
LarCacYP9HX	Larus cachinnans	F	GLUS8	8	3	1	1.05590062	3.43529412	7	1	7	4	2	3	1	75.4268683	51.6204343	30.8924541	NA	48.494016	29.0076209	16.6564664	10.5964907	147.711702	178.885751	112.247788	53.1886967	30.4983689	18.9865749	0	0.153452116
LarCacYP9HY	Larus cachinnans	M	GLUS8	8	2	2	1.02197802	3.32258065	7	1	7	4	3	3	1	60.6899692	40.1915422	43.9642325	77.9223949	58.6919042	33.6138036	20.5595807	12.4157402	146.497991	177.037807	136.01253	109.127458	51.0146021	35.2387395	18.8135397	0.159002169
LarCacYP9T0	Larus cachinnans	M	DWJA14	14	3	4	1.07486631	3.27363184	5	1	5	1	1	0	0	71.0423602	48.5770195	0	0	34.7826539	21.2726642	15.1553761	0	171.171852	197.879582	143.540679	82.949906	32.9299432	0	0	0.15995671
LarCacYP9T1	Larus cachinnans	F	DWJA14	14	3	4	1.05202312	3.29120879	6	2	6	2	2	1	0	63.8567875	46.782758	72.3651334	105.571103	76.3675446	37.8634512	20.3850727	0	183.021761	217.660853	156.756952	84.4483992	43.2568262	12.86285	0	0.16332574
LarCacYP9T2	Larus cachinnans	F	DWJA14	14	3	4	1.07185629	3.12290503	6	1	6	3	2	1	0	63.7640319	44.3873803	14.3144526	58.2152901	40.3601395	23.2606628	12.6186869	1.00868832	112.624818	154.018226	108.097896	55.7801501	31.8735933	10.8143641	0	0.150697674
LarCacYP9T7	Larus cachinnans	M	DWJA14	14	3	4	1.05789474	2.91542289	6	1	6	2	2	3	0	70.1831136	48.7455111	21.4335209	78.1331883	65.7148197	32.7949092	20.5784737	6.86989084	132.184985	182.110331	128.742076	83.9057521	38.7445586	17.5514992	0	0.162114537
LarCacYPM00	Larus hybrid	M	WLOC9	9	2	5	1.00694444	3.55172414	6	2	6	3	3	3	0	51.6669664	36.6939626	NA	NA	NA	43.7619516	23.9427994	8.51460282	151.784858	185.221739	145.049584	84.7305299	46.1095717	12.4700585	0	0.151304348
LarCacYPTE8	Larus cachinnans	M	SZCE4	4	3	4	1.025	3.25365854	6	1	6	2	2	3	0	55.0842137	45.8369666	23.1256044	69.0977798	48.7627011	30.0331038	21.042772	1.5530172	136.468904	167.980685	119.468665	75.4077903	40.2110962	15.9815928	0	0.166153846
LarCacYPTE9	Larus cachinnans	F	SZCE4	4	3	3	1.13207547	3.10555556	6	2	6	2	2	1	0	65.3414991	44.9557771	30.1074251	69.7398712	49.2440325	27.5815365	16.9684451	0	161.49957	189.101127	127.659183	78.8377106	33.128474	0	0	0.156306306
LarCacYPV52	Larus cachinnans	M	WLOC9	9	2	3	1.00847458	2.77310924	6	2	6	3	2	3	0	51.1670018	36.2806946	35.0330421	71.213007	NA	40.7158425	23.155135	7.60572368	134.283425	175.064359	141.336629	92.8851353	52.7740284	19.0213764	0	0.194843049
LarCacYPV55	Larus cachinnans	F	WLOC9	9	2	3	1.01807229	3.17751479	6	2	6	2	1	2	0	60.2887935	40.7790906	26.8717521	61.6824266	47.525621	27.7607218	12.5661823	0	158.039421	173.933949	112.937775	62.073231	26.1504275	6.07985089	0	0.153758542
LarCacYPV60	Larus hybrid	F	WLOC9	9	2	4	1.07738095	3.19889503	6	2	6	2	3	3	0	53.8564666	39.2056191	43.9572358	66.1361259	44.222564	34.1236941	16.5072822	2.42335247	137.318365	181.774052	133.58384	75.7777318	46.2777844	20.2462361	0	0.152214452
LarHybYP6ES	Larus hybrid	F	RYNS5	5	3	2	1.03012048	3.38011696	6	1	6	3	3	2	0	59.9064286	46.5804521	38.8422467	80.3644893	63.0263102	35.9851784	20.3667119	3.88499763	141.255864	183.630458	130.141999	88.645111	44.6213198	11.4610181	0	0.15950783
LarHybYP6UV	Larus hybrid	M	GLUS8	8	3	4	1.07253886	3.11594203	6	1	6	1	2	3	0	75.14533	58.5990618	9.6632316	67.9675007	50.0168905	30.195231	20.2533776	10.0856189	158.577671	168.389239	130.674061	67.7879344	38.638257	16.3875865	0	0.168230277
LarHybYP6XN	Larus hybrid	F	SLUP7	7	2	3	1.07647059	3.33879781	6	2	6	3	2	3	0	55.202892	42.3117027	76.9986201	89.525016	58.2018342	35.3579689	25.2358083	10.1757431	179.933729	199.924732	138.738784	96.9387628	88.7413714	24.0360916	0	0.149002217
LarHybYP6XX	Larus hybrid	F	SLUP7	7	3	4	1.02339181	3.25714286	6	2	6	5	3	3	0	58.1138167	44.2398578	19.2505034	76.8226677	55.8265894	36.4070432	27.115615	9.12503348	164.497577	185.206584	138.099783	89.6961742	49.351005	15.8109846	0	0.153273138
LarHybYP7AD	Larus hybrid	M	SLUP7	7	3	3	1.04522613	3.32692308	7	2	7	5	3	3	1	54.9126826	39.1124056	57.9920934	79.0503647	60.8593741	34.3807702	25.8265181	13.2264041	176.086481	185.12443	143.538377	97.1357246	57.7514792	23.5381131	0	0.17010989
LarHybYP7AK	Larus hybrid	F	SLUP7	7	3	4	1.12883436	3.25543478	7	2	7	3	2	3	1	60.5968214	45.8836239	22.4051415	72.8047889	54.4126861	36.8094983	22.316844	11.6615114	163.099923	189.047187	136.158779	97.1659698	54.6364652	29.6223705	9.04523931	0.153846154
LarHybYP7VM	Larus hybrid	F	SLUP7	7	3	NA	3.20231214	2.31407942	6	3	2	5	5	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.160090703
LarHybYPTL7	Larus hybrid	M	SZCE4	4	2	1	1.14973262	2.89767442	5	1	5	2	3	0	0	56.2782772	42.7780724	38.831765	76.5932732	54.5298963	15.8091597	12.5612946	0	173.343499	164.300019	107.233069	62.6424615	17.8696709	0	0	0.157049892
