Sample	Taxon	Sex	Location	locality_ID	OrbitalRingHueCat	TarsusHueCat	BillShapeRatio	BilllengthRatio	NB	NM	NW	T10	T9	T5	T4	W10_mm	W9_mm	B10_mm	B9_mm	B8_mm	B7_mm	B6_mm	B5_mm	M10_mm	M9_mm	M8_mm	M7_mm	M6_mm	M5_mm	M4_mm	TarsusR
LarCacG6P44	Larus cachinnans	M	WLOC9	9	3	4	3.30456853	2.2718894	7	1	7	3	2	3	1	74.1825731	44.1375369	20.8609293	71.570864	53.7688961	36.0022052	22.512247	15.2094904	135.765873	172.736006	132.529372	91.2569427	42.9329388	26.4693128	7.85051545	0.16563147
LarCacR613P	Larus hybrid	F	WLOC9	9	1	1	2.97674419	2.29101563	6	2	6	2	3	2	0	57.6954247	39.8015115	41.7690055	70.7082862	43.8414584	28.9938882	16.0130441	4.1616116	156.596977	197.156883	136.91024	73.2602574	37.6300623	11.5750505	0	0.148539326
LarCacR68P0	Larus cachinnans	F	PRZY10	10	2	3	3.08108108	2.2245614	7	2	7	5	3	3	1	57.9292862	40.4862127	68.8622612	93.0009453	69.2764599	52.1777292	28.33989	12.2620081	162.278747	204.676983	152.252953	91.5165698	58.79685	24.2473895	13.1263405	0.152771619
LarCacR80P0	Larus hybrid	M	PRZY10	10	3	4	3.04878049	2.1504	7	2	7	3	2	3	1	59.387896	35.2648265	74.1547118	NA	59.0250527	30.2054779	22.8555854	7.27820229	139.745334	182.861252	125.09019	85.3936866	39.9770418	18.7392384	0	0.153563715
LarCacT000407	Larus cachinnans	M	UKRA16	16	2	1	3.32105263	2.16798732	6	NA	NA	3	2	2	0	64	49	34	79	59	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.160217391
LarCacT000415	Larus cachinnans	M	UKRA16	16	2	1	3.20418848	2.22222222	6	NA	NA	2	2	3	0	69	62	19	68	49	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166520788
LarCacT000421	Larus cachinnans	M	UKRA16	16	3	1	3.20207254	2.20226537	7	NA	NA	5	2	3	1	62	52	47	91	64	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.162888889
LarCacT000422	Larus cachinnans	F	UKRA16	16	2	1	2.97687861	2.29902913	6	NA	NA	3	2	2	0	63	46	22	74	53	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155813953
LarCacT000425	Larus cachinnans	F	UKRA16	16	3	1	3.21637427	2.22	6	NA	NA	4	2	3	0	66	56	31	81	62	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.159250585
LarCacT000435	Larus cachinnans	F	UKRA16	16	3	1	2.96067416	2.27703985	6	NA	NA	3	2	3	0	70	53	12	64	56	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155188679
LarCacT000444	Larus cachinnans	M	UKRA16	16	3	4	3.065	2.2137031	7	NA	NA	2	2	3	1	63	46	25	72	58	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166292135
LarCacT000447	Larus cachinnans	F	UKRA16	16	3	1	3.10674157	2.20072333	6	NA	NA	2	2	1	0	68	47	17	66	42	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156440281
LarCacT000450	Larus cachinnans	F	UKRA16	16	2	1	3.07602339	2.23954373	6	NA	NA	3	2	2	0	61	50	19	74	53	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.154609929
LarCacXP001	Larus hybrid	M	WLOC9	9	2	5	3.36216216	2.04823151	6	1	6	2	2	1	0	61.2940047	37.5821239	15.6701186	59.6809483	43.1331444	21.8023615	9.06273227	0	139.27111	164.469628	118.915241	72.9536768	34.4546062	6.54160463	0	0.171092077
LarCacYP02Z	Larus cachinnans	F	DWJA14	14	2	1	3.1734104	2.25318761	7	2	7	4	3	3	1	61.3877625	41.0579875	42.1280107	80.7841469	56.9040764	34.1291851	19.7637884	7.09389476	133.424845	176.826709	125.462924	80.5787728	49.2761414	14.6926807	0	0.153211009
LarCacYP03E	Larus cachinnans	M	RYNS5	5	3	3	3.04020101	2.19504132	7	2	7	3	2	3	1	67.7375198	48.0951667	26.4224688	86.2845771	67.264078	36.7139608	20.24724	8.70844641	164.724036	176.228867	137.713015	98.1564473	47.1058815	24.7821902	6.66177764	0.160934183
